period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018-Q1,9441772000000.0,10157583000000.0,5800659000000.0,11025023000000.0,-5224364000000.0,0.0,0.0,0.0,4356924000000.0,5560335000000.0,-1203411000000.0,0.0,0.0,0.0,2617453000000.0,0.0,2447545000000.0,253040000000.0,-83132000000.0,1226942713000000.0,1176139467000000.0,50803246000000.0,34187153000000.0,30306000000.0,152474000000.0,0.0,0.0,73816000000.0,8931155000000.0,0.0,1226942713000000.0,33804082000000.0,119261308000000.0,15448290000000.0,15465070000000.0,-16780000000.0,239856000000.0,867289606000000.0,878752977000000.0,-11463371000000.0,144638709000000.0,114362098000000.0,37710599000000.0,-7433988000000.0,24044054000000.0,81334733000000.0,78920209000000.0,910053496000000.0,0.0,11726912000000.0,64808937000000.0,29295180000000.0,34369933000000.0,0.0,0.0,4454838000000.0,121924704000000.0,1627132000000.0,4261867000000.0,973095000000.0,428396000000.0,0.0,0.0,67827572000000.0,15588904000000.0,2973504000000.0,78724482000000.0,40599867000000.0,-63041000000.0,0.0,0.0,0.0,9051218000000.0,11203351000000.0,36158000000.0,4362601000000.0,0.0,-609274000000.0,18831064000000.0,60089145000000.0,18457328000000.0,92588000000.0,10745264000000.0,0.0,0.0,2447545000000.0
2018-Q2,8712476000000.0,10184778000000.0,5862462000000.0,11306449000000.0,-5443987000000.0,0.0,0.0,0.0,4322316000000.0,5579259000000.0,-1256943000000.0,0.0,0.0,0.0,2651744000000.0,0.0,2486899000000.0,253040000000.0,-88195000000.0,1268266720000000.0,1215066822000000.0,53199898000000.0,34187153000000.0,30306000000.0,152474000000.0,0.0,0.0,333440000000.0,10790130000000.0,0.0,1268266720000000.0,20930738000000.0,101895742000000.0,4131050000000.0,4151499000000.0,-20449000000.0,0.0,917403838000000.0,929167956000000.0,-11764118000000.0,177539264000000.0,149533200000000.0,37003689000000.0,-8997625000000.0,24817090000000.0,72982248000000.0,78010124000000.0,964542964000000.0,45554000000.0,11902926000000.0,57504335000000.0,30078671000000.0,34369933000000.0,0.0,0.0,4598337000000.0,129980707000000.0,0.0,2768907000000.0,1331293000000.0,450967000000.0,0.0,0.0,64864648000000.0,18078828000000.0,3108058000000.0,69998976000000.0,31961849000000.0,-65083000000.0,0.0,0.0,0.0,9563877000000.0,11714820000000.0,32797000000.0,4138013000000.0,0.0,-632417000000.0,19427324000000.0,58582800000000.0,19890693000000.0,80433000000.0,10107545000000.0,0.0,0.0,2486899000000.0
2018-Q3,8722392000000.0,10079113000000.0,5800584000000.0,11413795000000.0,-5613211000000.0,0.0,0.0,0.0,4278529000000.0,5588110000000.0,-1309581000000.0,0.0,0.0,0.0,2682196000000.0,0.0,2536351000000.0,234040000000.0,-88195000000.0,1268412620000000.0,1214692692000000.0,53719928000000.0,34187153000000.0,30306000000.0,179146000000.0,0.0,0.0,359609000000.0,11212823000000.0,0.0,1268412620000000.0,34107349000000.0,81842839000000.0,1055736000000.0,1067193000000.0,-11457000000.0,12386000000.0,953925133000000.0,968752333000000.0,-14827200000000.0,150499158000000.0,124015316000000.0,36346891000000.0,-9863049000000.0,25486318000000.0,84628068000000.0,74093887000000.0,953512834000000.0,0.0,11995112000000.0,56207877000000.0,34254914000000.0,34396605000000.0,0.0,0.0,4599041000000.0,134714575000000.0,1655427000000.0,5320426000000.0,2073498000000.0,0.0,0.0,0.0,62072800000000.0,18078828000000.0,3151850000000.0,57419864000000.0,24488595000000.0,-65620000000.0,0.0,0.0,0.0,9867844000000.0,11889407000000.0,32756000000.0,4326263000000.0,0.0,-629952000000.0,20482655000000.0,53611232000000.0,19511742000000.0,80466000000.0,14662706000000.0,0.0,0.0,2536351000000.0
2018-Q4,10507558000000.0,10666712000000.0,6352251000000.0,12099549000000.0,-5747298000000.0,0.0,0.0,0.0,4314461000000.0,5671933000000.0,-1357472000000.0,0.0,0.0,0.0,2613521000000.0,0.0,2522835000000.0,213320000000.0,-122634000000.0,1313037674000000.0,1258344568000000.0,54693106000000.0,34187153000000.0,30306000000.0,179146000000.0,0.0,0.0,156581000000.0,12483070000000.0,0.0,1313037674000000.0,50185159000000.0,104113340000000.0,673639000000.0,790210000000.0,-116571000000.0,79755000000.0,976333888000000.0,988738780000000.0,-12404892000000.0,133142950000000.0,111419195000000.0,29847625000000.0,-8123870000000.0,24721152000000.0,105297399000000.0,79198149000000.0,989671155000000.0,0.0,12296196000000.0,39991361000000.0,31890308000000.0,34396605000000.0,0.0,0.0,4617990000000.0,146429815000000.0,4712259000000.0,2628996000000.0,3371261000000.0,456765000000.0,0.0,0.0,62879949000000.0,18078828000000.0,3038860000000.0,81792629000000.0,22430353000000.0,-109642000000.0,0.0,0.0,0.0,8851907000000.0,11897396000000.0,34472000000.0,4589192000000.0,0.0,-651815000000.0,22064492000000.0,57133657000000.0,20726439000000.0,90753000000.0,11073116000000.0,0.0,1938687000000.0,584148000000.0
2019-Q1,9808400000000.0,10578239000000.0,6248936000000.0,12186262000000.0,-5937326000000.0,0.0,0.0,0.0,4329303000000.0,5735620000000.0,-1406317000000.0,0.0,0.0,0.0,2657370000000.0,0.0,2565462000000.0,213320000000.0,-121412000000.0,1342938577000000.0,1286286275000000.0,56652302000000.0,34187153000000.0,30306000000.0,179146000000.0,0.0,0.0,220257000000.0,14294633000000.0,0.0,1342938577000000.0,32963975000000.0,112271066000000.0,4436776000000.0,4534358000000.0,-97582000000.0,130096000000.0,1011891188000000.0,1024434938000000.0,-12543750000000.0,132222416000000.0,111939653000000.0,28530356000000.0,-8247593000000.0,25979051000000.0,98575149000000.0,85946985000000.0,1014934561000000.0,0.0,12598881000000.0,42102483000000.0,32128216000000.0,34396605000000.0,0.0,0.0,4645340000000.0,141449103000000.0,4665184000000.0,1800516000000.0,2485490000000.0,0.0,0.0,0.0,68296734000000.0,10917811000000.0,3095467000000.0,86902217000000.0,25480379000000.0,-111530000000.0,0.0,0.0,0.0,9435701000000.0,12616484000000.0,34222000000.0,4535213000000.0,0.0,-642569000000.0,33746022000000.0,52200963000000.0,21388977000000.0,90551000000.0,10648688000000.0,0.0,1958131000000.0,607331000000.0
2019-Q2,10274109000000.0,10391738000000.0,6084015000000.0,12242370000000.0,-6158355000000.0,0.0,0.0,0.0,4307723000000.0,5764964000000.0,-1457241000000.0,0.0,0.0,0.0,2616027000000.0,0.0,2522724000000.0,214715000000.0,-121412000000.0,1400111946000000.0,1342583471000000.0,57528475000000.0,34187153000000.0,30306000000.0,179146000000.0,0.0,0.0,180018000000.0,14137927000000.0,0.0,1400111946000000.0,15351805000000.0,141847419000000.0,1369687000000.0,1453556000000.0,-83869000000.0,95015000000.0,1049681804000000.0,1065030363000000.0,-15348559000000.0,140931407000000.0,122325988000000.0,26973408000000.0,-8367989000000.0,27552935000000.0,90275153000000.0,95902394000000.0,1059790493000000.0,0.0,12598267000000.0,48978420000000.0,35038744000000.0,34396605000000.0,0.0,0.0,5737923000000.0,141322862000000.0,4874166000000.0,1317452000000.0,2362757000000.0,0.0,0.0,0.0,61664840000000.0,11536380000000.0,3076002000000.0,116909976000000.0,25048728000000.0,-111285000000.0,0.0,0.0,0.0,10111641000000.0,13240841000000.0,33483000000.0,4812202000000.0,0.0,-645232000000.0,43786234000000.0,52116160000000.0,23364286000000.0,11585051000000.0,89407000000.0,0.0,1947180000000.0,575544000000.0
2019-Q3,12638511000000.0,10223581000000.0,5947299000000.0,12292481000000.0,-6345182000000.0,0.0,0.0,0.0,4276282000000.0,5782705000000.0,-1506423000000.0,0.0,0.0,0.0,2682443000000.0,0.0,2589058000000.0,214690000000.0,-121305000000.0,1425398552000000.0,1366021552000000.0,59377000000000.0,34187153000000.0,30306000000.0,267851000000.0,0.0,0.0,172422000000.0,15862761000000.0,0.0,1425398552000000.0,42191695000000.0,130025743000000.0,2096049000000.0,2139394000000.0,-43345000000.0,99899000000.0,1055970052000000.0,1073510550000000.0,-17540498000000.0,142425871000000.0,125036793000000.0,24556870000000.0,-7167792000000.0,27044708000000.0,94246424000000.0,89486907000000.0,1084798261000000.0,0.0,12468156000000.0,49544214000000.0,35477590000000.0,34485310000000.0,0.0,0.0,5739691000000.0,141945273000000.0,4829710000000.0,3428233000000.0,4184697000000.0,0.0,0.0,0.0,58475705000000.0,13350582000000.0,3116816000000.0,107992152000000.0,22143226000000.0,-109635000000.0,0.0,0.0,0.0,10033904000000.0,13239534000000.0,35701000000.0,4373969000000.0,0.0,-638400000000.0,39401736000000.0,50085171000000.0,24494395000000.0,89108000000.0,10894087000000.0,0.0,1998026000000.0,591032000000.0
2019-Q4,14116670000000.0,10604693000000.0,6294526000000.0,12784828000000.0,-6490302000000.0,0.0,0.0,0.0,4310167000000.0,5866116000000.0,-1555949000000.0,0.0,0.0,0.0,2745490000000.0,0.0,2628836000000.0,214679000000.0,-98025000000.0,1490104755000000.0,1412338473000000.0,77766282000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,125582000000.0,13998143000000.0,0.0,1490104755000000.0,135255429000000.0,54290120000000.0,6346190000000.0,6380379000000.0,-34189000000.0,92130000000.0,1102493985000000.0,1116924879000000.0,-14430894000000.0,138122423000000.0,121819089000000.0,23262431000000.0,-6959097000000.0,26037625000000.0,108760008000000.0,76607606000000.0,1114231270000000.0,0.0,12386421000000.0,62772362000000.0,37580806000000.0,54780413000000.0,0.0,0.0,5743756000000.0,147822030000000.0,5356455000000.0,1647813000000.0,1626833000000.0,0.0,0.0,0.0,69465365000000.0,8276528000000.0,3118388000000.0,43718543000000.0,10717769000000.0,-146192000000.0,0.0,0.0,0.0,9287044000000.0,12862809000000.0,38915000000.0,4492138000000.0,0.0,-643281000000.0,28819280000000.0,47788326000000.0,24694158000000.0,114091000000.0,12772557000000.0,0.0,2020226000000.0,608610000000.0
2020-Q1,9097015000000.0,10397552000000.0,6125427000000.0,12818271000000.0,-6692844000000.0,0.0,0.0,0.0,4272125000000.0,5878777000000.0,-1606652000000.0,0.0,0.0,0.0,2833666000000.0,0.0,2722192000000.0,215591000000.0,-104117000000.0,1446044081000000.0,1366774763000000.0,79269318000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,298263000000.0,14015338000000.0,0.0,1446044081000000.0,26782623000000.0,121290315000000.0,5721025000000.0,5815488000000.0,-94463000000.0,210196000000.0,1088942409000000.0,1105558635000000.0,-16616226000000.0,152666141000000.0,139280889000000.0,14069879000000.0,-684627000000.0,28103139000000.0,66443740000000.0,84502099000000.0,1100292897000000.0,0.0,12260010000000.0,67611653000000.0,35664364000000.0,54780413000000.0,0.0,0.0,7005898000000.0,143805491000000.0,5434250000000.0,2158172000000.0,2047215000000.0,0.0,0.0,0.0,71079800000000.0,8630957000000.0,3169406000000.0,91778750000000.0,29658771000000.0,-147206000000.0,0.0,0.0,0.0,9852281000000.0,14501925000000.0,37016000000.0,4347360000000.0,0.0,-635443000000.0,36983238000000.0,47518861000000.0,25654776000000.0,111602000000.0,9897986000000.0,0.0,2089177000000.0,633015000000.0
2020-Q2,11822072000000.0,10317039000000.0,6078364000000.0,12956464000000.0,-6878100000000.0,0.0,0.0,0.0,4238675000000.0,5889064000000.0,-1650389000000.0,0.0,0.0,0.0,2700985000000.0,0.0,2589563000000.0,215539000000.0,-104117000000.0,1446040448000000.0,1366394306000000.0,79646142000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,149623000000.0,14522079000000.0,0.0,1446040448000000.0,28062207000000.0,107702884000000.0,4970625000000.0,4986402000000.0,-15777000000.0,208119000000.0,1120783412000000.0,1139226525000000.0,-18443113000000.0,133058358000000.0,116708149000000.0,17057953000000.0,-707744000000.0,26414747000000.0,32953523000000.0,67567177000000.0,1131397775000000.0,0.0,12384593000000.0,85395126000000.0,36696112000000.0,54780413000000.0,0.0,0.0,7044619000000.0,146507363000000.0,5612579000000.0,1476787000000.0,838955000000.0,0.0,0.0,0.0,73429025000000.0,10967229000000.0,3149408000000.0,83243633000000.0,24604400000000.0,-145149000000.0,0.0,0.0,0.0,9842795000000.0,13258214000000.0,41698000000.0,3902804000000.0,0.0,-630764000000.0,21448567000000.0,46118610000000.0,26182331000000.0,110689000000.0,10403092000000.0,0.0,2004074000000.0,585489000000.0
2020-Q3,10401494000000.0,10168812000000.0,5973387000000.0,13037198000000.0,-7063811000000.0,0.0,0.0,0.0,4195425000000.0,5889534000000.0,-1694109000000.0,0.0,0.0,0.0,2706855000000.0,0.0,2595476000000.0,215496000000.0,-104117000000.0,1467805954000000.0,1386365229000000.0,81440725000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,113045000000.0,16305732000000.0,0.0,1467805954000000.0,40335703000000.0,116003134000000.0,5681751000000.0,5688349000000.0,-6598000000.0,222404000000.0,1125740176000000.0,1145358910000000.0,-19618734000000.0,128835457000000.0,112696335000000.0,16758820000000.0,-619698000000.0,27710168000000.0,22468994000000.0,84989916000000.0,1145003968000000.0,0.0,12413555000000.0,83247645000000.0,38241151000000.0,54780413000000.0,0.0,0.0,7044607000000.0,154691954000000.0,3303146000000.0,2711947000000.0,994181000000.0,0.0,0.0,0.0,69127098000000.0,12179136000000.0,3196928000000.0,96756092000000.0,19391253000000.0,-144211000000.0,0.0,0.0,0.0,11604505000000.0,12958286000000.0,47044000000.0,3723407000000.0,0.0,-623074000000.0,40332002000000.0,44657914000000.0,24718657000000.0,110758000000.0,13411736000000.0,0.0,1993392000000.0,602084000000.0
2020-Q4,12294194000000.0,10413985000000.0,6154218000000.0,13353426000000.0,-7199208000000.0,0.0,0.0,0.0,4259767000000.0,6007344000000.0,-1747577000000.0,0.0,0.0,0.0,2763768000000.0,0.0,2643474000000.0,215470000000.0,-95176000000.0,1516869903000000.0,1437081446000000.0,79788457000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,50098000000.0,14680111000000.0,0.0,1516869903000000.0,49434766000000.0,85348812000000.0,10069208000000.0,10082433000000.0,-13225000000.0,167933000000.0,1195433107000000.0,1214295917000000.0,-18862810000000.0,125215357000000.0,112192338000000.0,13603212000000.0,-580193000000.0,25728773000000.0,17222797000000.0,82353246000000.0,1226673942000000.0,0.0,12853270000000.0,63236692000000.0,34741499000000.0,54780413000000.0,0.0,0.0,7050915000000.0,156827102000000.0,4085898000000.0,1581271000000.0,1142528000000.0,0.0,0.0,0.0,79966567000000.0,12482722000000.0,3226920000000.0,62192181000000.0,23295457000000.0,-138826000000.0,0.0,0.0,0.0,9780514000000.0,12819145000000.0,37294000000.0,3709300000000.0,0.0,-617480000000.0,40920784000000.0,41432462000000.0,22428036000000.0,112722000000.0,12200741000000.0,0.0,2039869000000.0,603605000000.0
2021-Q1,10770158000000.0,10241492000000.0,6009491000000.0,13361527000000.0,-7352036000000.0,0.0,0.0,0.0,4232001000000.0,6015070000000.0,-1783069000000.0,0.0,0.0,0.0,2842564000000.0,0.0,2730734000000.0,216069000000.0,-104239000000.0,1558887407000000.0,1476624113000000.0,82263294000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,18605000000.0,16156679000000.0,0.0,1558887407000000.0,91672598000000.0,85087146000000.0,3574042000000.0,3586841000000.0,-12799000000.0,221388000000.0,1210123489000000.0,1233545783000000.0,-23422294000000.0,118019339000000.0,104553274000000.0,14379156000000.0,-913091000000.0,26335191000000.0,27563388000000.0,112052995000000.0,1225957672000000.0,0.0,12704814000000.0,66194902000000.0,32150342000000.0,54780413000000.0,0.0,0.0,8072474000000.0,155616354000000.0,3996653000000.0,6070745000000.0,2025819000000.0,0.0,0.0,0.0,104796949000000.0,10342541000000.0,3235123000000.0,74269353000000.0,10957492000000.0,-139699000000.0,0.0,0.0,0.0,10736555000000.0,12572173000000.0,41241000000.0,3579187000000.0,0.0,-593965000000.0,69279441000000.0,42773554000000.0,20764720000000.0,113722000000.0,11271900000000.0,0.0,2112621000000.0,618113000000.0
2021-Q2,11073415000000.0,10152116000000.0,5924840000000.0,13474762000000.0,-7549922000000.0,0.0,0.0,0.0,4227276000000.0,6048777000000.0,-1821501000000.0,0.0,0.0,0.0,2856693000000.0,0.0,2744990000000.0,216045000000.0,-104342000000.0,1642336884000000.0,1557788374000000.0,84548510000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,-15494000000.0,18484503000000.0,0.0,1642336884000000.0,37588465000000.0,145957757000000.0,3610379000000.0,3633620000000.0,-23241000000.0,236204000000.0,1269426338000000.0,1297445087000000.0,-28018749000000.0,135148274000000.0,107379705000000.0,28840121000000.0,-1071552000000.0,26287243000000.0,16532216000000.0,102454280000000.0,1293956654000000.0,0.0,12601501000000.0,97819039000000.0,34424684000000.0,54780413000000.0,0.0,0.0,8113368000000.0,159615802000000.0,4295951000000.0,12578582000000.0,618213000000.0,0.0,0.0,0.0,112929921000000.0,9485835000000.0,3185720000000.0,125444438000000.0,20647195000000.0,-133876000000.0,0.0,0.0,0.0,9909538000000.0,13089564000000.0,42325000000.0,3839557000000.0,0.0,-593741000000.0,59827632000000.0,42626648000000.0,19883325000000.0,114327000000.0,14427032000000.0,0.0,2126117000000.0,618873000000.0
2021-Q3,11440685000000.0,10382490000000.0,6073131000000.0,13851878000000.0,-7778747000000.0,0.0,0.0,0.0,4309359000000.0,6207874000000.0,-1898515000000.0,0.0,0.0,0.0,2902893000000.0,0.0,2758223000000.0,215903000000.0,-71233000000.0,1686678164000000.0,1600659921000000.0,86018243000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,-197504000000.0,20131244000000.0,0.0,1686678164000000.0,64251759000000.0,115503372000000.0,6350644000000.0,6374417000000.0,-23773000000.0,378534000000.0,1298625215000000.0,1328679993000000.0,-30054778000000.0,149752439000000.0,108253571000000.0,41950552000000.0,-451684000000.0,27090133000000.0,15994609000000.0,111856972000000.0,1309952776000000.0,0.0,13718677000000.0,114974920000000.0,34161967000000.0,54780413000000.0,0.0,0.0,8113154000000.0,168039994000000.0,5423636000000.0,296836000000.0,582778000000.0,0.0,0.0,0.0,114925645000000.0,8221792000000.0,3190936000000.0,97934016000000.0,17701040000000.0,-131684000000.0,0.0,0.0,0.0,10060667000000.0,13947276000000.0,35054000000.0,3645310000000.0,0.0,-598174000000.0,68505758000000.0,43351214000000.0,20856682000000.0,113875000000.0,13191410000000.0,0.0,2125334000000.0,632889000000.0
2021-Q4,12660583000000.0,10741157000000.0,6338007000000.0,14264202000000.0,-7926195000000.0,0.0,0.0,0.0,4403150000000.0,6407788000000.0,-2004638000000.0,0.0,0.0,0.0,2873924000000.0,0.0,2729682000000.0,215617000000.0,-71375000000.0,1761938950000000.0,1675572305000000.0,86366645000000.0,50585239000000.0,14292382000000.0,267851000000.0,0.0,0.0,-368660000000.0,10269320000000.0,0.0,1761938950000000.0,68851444000000.0,135940238000000.0,6066664000000.0,6083163000000.0,-16499000000.0,192282000000.0,1325577562000000.0,1354632643000000.0,-29055081000000.0,177089395000000.0,111675313000000.0,65710756000000.0,-296674000000.0,21945701000000.0,25340018000000.0,98003606000000.0,1380401585000000.0,0.0,14349996000000.0,123681757000000.0,33795343000000.0,65145472000000.0,0.0,0.0,8136443000000.0,168149890000000.0,8460014000000.0,2816946000000.0,997237000000.0,0.0,0.0,0.0,123401969000000.0,8355060000000.0,3184070000000.0,112042997000000.0,24026575000000.0,-129334000000.0,0.0,0.0,0.0,7840832000000.0,11041863000000.0,36588000000.0,3590086000000.0,0.0,-563668000000.0,58949853000000.0,39053753000000.0,21527269000000.0,114939000000.0,12153135000000.0,0.0,2134086000000.0,595596000000.0
2022-Q1,12191932000000.0,10509295000000.0,6156731000000.0,14264920000000.0,-8108189000000.0,0.0,0.0,0.0,4352564000000.0,6402114000000.0,-2049550000000.0,0.0,0.0,0.0,2860964000000.0,0.0,2748553000000.0,216431000000.0,-104020000000.0,1847704434000000.0,1757866709000000.0,89837725000000.0,50585239000000.0,14292382000000.0,267851000000.0,0.0,0.0,-472425000000.0,12262506000000.0,0.0,1847704434000000.0,58216772000000.0,163893889000000.0,3274752000000.0,3286806000000.0,-12054000000.0,70158000000.0,1382262545000000.0,1417854147000000.0,-35591602000000.0,190687268000000.0,119832064000000.0,71149082000000.0,-293878000000.0,23736859000000.0,53362966000000.0,128450020000000.0,1396301169000000.0,0.0,14229737000000.0,127868050000000.0,37654767000000.0,65145472000000.0,0.0,0.0,9695744000000.0,169405916000000.0,8454296000000.0,1998409000000.0,1128525000000.0,0.0,0.0,0.0,136363302000000.0,8900554000000.0,3206428000000.0,141148805000000.0,22871707000000.0,-126623000000.0,0.0,0.0,0.0,9012335000000.0,12119905000000.0,36509000000.0,3131883000000.0,0.0,-563773000000.0,88912742000000.0,39537278000000.0,23108332000000.0,113505000000.0,14432930000000.0,0.0,2136886000000.0,611667000000.0
2022-Q2,11894083000000.0,10259927000000.0,5953329000000.0,14200615000000.0,-8247286000000.0,0.0,0.0,0.0,4306598000000.0,6396112000000.0,-2089514000000.0,0.0,0.0,0.0,2964250000000.0,0.0,2858229000000.0,215534000000.0,-109513000000.0,1979292691000000.0,1885375152000000.0,93917539000000.0,50585239000000.0,14292382000000.0,267851000000.0,0.0,0.0,-271563000000.0,16317462000000.0,0.0,1979292691000000.0,48204728000000.0,216987172000000.0,1879386000000.0,1918275000000.0,-38889000000.0,0.0,1443231372000000.0,1483038764000000.0,-39807392000000.0,214473399000000.0,139398156000000.0,75304721000000.0,-229478000000.0,29398374000000.0,84297021000000.0,208128128000000.0,1406297004000000.0,14923000000.0,14191937000000.0,134647176000000.0,37798963000000.0,65145472000000.0,0.0,0.0,9748561000000.0,172213032000000.0,9247948000000.0,2614387000000.0,585236000000.0,0.0,0.0,0.0,127306462000000.0,15008758000000.0,2977607000000.0,191862728000000.0,25250680000000.0,-126236000000.0,0.0,0.0,0.0,13823656000000.0,12601634000000.0,37151000000.0,3493556000000.0,0.0,-557623000000.0,163091951000000.0,45036177000000.0,22529929000000.0,113329000000.0,15155705000000.0,0.0,2214709000000.0,643520000000.0
