period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018-Q1,7033557000000.0,0.0,3172942000000.0,-329938000000.0,5017000000.0,0.0,0.0,5687000000.0,-319272000000.0,0.0,0.0,0.0,100741680000000.0,0.0,103595350000000.0,-291204000000.0,0.0,-1980320000000.0,-3045937000000.0,-46153000000.0,-11867670000000.0,0.0,-9077702000000.0,-488137000000.0,-210312000000.0,-13058651000000.0,54077971000000.0,0.0,4185000000.0,-18929492000000.0,0.0,761788000000.0,3173127000000.0,-185000000.0,0.0,-38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439752000000.0,-11595347000000.0,745256000000.0,1256661000000.0,0.0,-67034000000.0,-4114574000000.0,660047000000.0,1256661000000.0
2018-Q2,6819486000000.0,0.0,9823143000000.0,-187717000000.0,-762000000.0,0.0,0.0,35891000000.0,-152645000000.0,0.0,0.0,0.0,103595348000000.0,0.0,113265846000000.0,-466454000000.0,0.0,8387159000000.0,9098879000000.0,285410000000.0,-50414979000000.0,0.0,-1770634000000.0,-229192000000.0,-766100000000.0,-910086000000.0,46903083000000.0,0.0,176014000000.0,-7304602000000.0,0.0,-451109000000.0,9823329000000.0,-186000000.0,0.0,-57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21655949000000.0,-12434754000000.0,976017000000.0,-3013000000.0,0.0,-91822000000.0,-3906829000000.0,1090392000000.0,-3013000000.0
2018-Q3,6519862000000.0,0.0,-23738089000000.0,-172763000000.0,9764000000.0,0.0,28981000000.0,58587000000.0,-77697000000.0,0.0,0.0,0.0,113265848000000.0,0.0,89450062000000.0,-513980000000.0,0.0,7199555000000.0,5109488000000.0,-57940000000.0,-39584377000000.0,0.0,-190503000000.0,-446212000000.0,341946000000.0,-3916237000000.0,273744000000.0,0.0,92186000000.0,-1296458000000.0,0.0,2216857000000.0,-23738089000000.0,0.0,0.0,-2266000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22005322000000.0,-14407877000000.0,820219000000.0,364894000000.0,0.0,-121349000000.0,-3011610000000.0,1384243000000.0,364894000000.0
2018-Q4,7997922000000.0,0.0,30192963000000.0,1804822000000.0,-604000000.0,0.0,27239000000.0,28029000000.0,1856686000000.0,0.0,-92612000000.0,-92612000000.0,89450062000000.0,0.0,121407099000000.0,-473779000000.0,0.0,-120459000000.0,11272370000000.0,-67369000000.0,-19986447000000.0,0.0,-8655114000000.0,109519000000.0,17447966000000.0,5104263000000.0,39379686000000.0,0.0,301084000000.0,-16216516000000.0,0.0,-6373798000000.0,30193107000000.0,-144000000.0,0.0,-2800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23555455000000.0,-13008807000000.0,1009307000000.0,345086000000.0,0.0,-385776000000.0,-4389335000000.0,1345771000000.0,345086000000.0
2019-Q1,6941072000000.0,0.0,-16660896000000.0,-142385000000.0,650000000.0,0.0,0.0,4993000000.0,-137483000000.0,0.0,0.0,0.0,121407099000000.0,0.0,104608720000000.0,-473953000000.0,0.0,-7037651000000.0,-3064298000000.0,-50341000000.0,-35696158000000.0,0.0,-5311347000000.0,-750229000000.0,-7459479000000.0,6748835000000.0,26000635000000.0,0.0,302685000000.0,2111122000000.0,0.0,604258000000.0,-16660896000000.0,0.0,0.0,-741000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22890307000000.0,-14284844000000.0,876466000000.0,652010000000.0,0.0,38545000000.0,-3983184000000.0,1225725000000.0,652010000000.0
2019-Q2,8172702000000.0,0.0,20496465000000.0,9776000000.0,221000000.0,-1395000000.0,0.0,96327000000.0,104917000000.0,0.0,-17808000000.0,-17808000000.0,104608720000000.0,0.0,125192294000000.0,-494710000000.0,0.0,2138527000000.0,542238000000.0,35081000000.0,-40595425000000.0,0.0,-2701540000000.0,-828909000000.0,-3127115000000.0,9955410000000.0,39683051000000.0,0.0,-614000000.0,6875937000000.0,0.0,347305000000.0,20496648000000.0,-183000000.0,0.0,-12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24199708000000.0,-14022991000000.0,1091942000000.0,333388000000.0,0.0,-22128000000.0,-4058421000000.0,1145914000000.0,333388000000.0
2019-Q3,9461341000000.0,0.0,25991881000000.0,-47701000000.0,725000000.0,26000000.0,0.0,2760000000.0,-44276000000.0,0.0,-40221000000.0,-40221000000.0,125192294000000.0,0.0,151099678000000.0,-460722000000.0,0.0,9053218000000.0,-1897999000000.0,-4884000000.0,-8480187000000.0,0.0,-4987812000000.0,554460000000.0,1419785000000.0,-6415488000000.0,27559254000000.0,0.0,-130111000000.0,565794000000.0,0.0,-705490000000.0,25991881000000.0,0.0,0.0,-86000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25910396000000.0,-15636201000000.0,1050326000000.0,688151000000.0,0.0,-102884000000.0,-3293648000000.0,1305923000000.0,688151000000.0
2019-Q4,9724575000000.0,0.0,4404846000000.0,-249780000000.0,3680000000.0,1369000000.0,0.0,6981000000.0,-251134000000.0,20295103000000.0,-4786201000000.0,15508902000000.0,151099678000000.0,0.0,170762292000000.0,-447248000000.0,0.0,6308387000000.0,-5644477000000.0,7769000000.0,-43414329000000.0,0.0,-6685595000000.0,154077000000.0,-5778287000000.0,-12879302000000.0,49724880000000.0,0.0,-81735000000.0,13228148000000.0,0.0,-259070000000.0,4405041000000.0,-195000000.0,0.0,-12025000000.0,0.0,0.0,-1359000000.0,0.0,0.0,0.0,0.0,27233747000000.0,-16857662000000.0,1265059000000.0,1015468000000.0,0.0,-229167000000.0,-4355870000000.0,2100248000000.0,1015468000000.0
2020-Q1,5097179000000.0,0.0,-50824924000000.0,-261059000000.0,264000000.0,-912000000.0,0.0,4788000000.0,-256943000000.0,0.0,0.0,0.0,170272402000000.0,0.0,119190535000000.0,-786671000000.0,0.0,-19168705000000.0,6825776000000.0,-118066000000.0,11439350000000.0,0.0,-10365917000000.0,-294804000000.0,91894000000.0,7818921000000.0,-56277889000000.0,0.0,-126411000000.0,4839291000000.0,0.0,-585345000000.0,-50824726000000.0,-198000000.0,0.0,-24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24927751000000.0,-16428036000000.0,1085912000000.0,717072000000.0,0.0,-94019000000.0,-4999994000000.0,675164000000.0,717072000000.0
2020-Q2,8077805000000.0,0.0,-21180568000000.0,-164448000000.0,1561000000.0,52000000.0,0.0,96496000000.0,-66571000000.0,0.0,0.0,0.0,119190535000000.0,0.0,97943396000000.0,-35889000000.0,0.0,2915910000000.0,6383228000000.0,2076000000.0,-33667890000000.0,0.0,-2477018000000.0,417847000000.0,-1355715000000.0,-16934924000000.0,-1029620000000.0,0.0,124583000000.0,17783472000000.0,0.0,-1424451000000.0,-21184697000000.0,4129000000.0,0.0,-232000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24153622000000.0,-15990987000000.0,1213065000000.0,0.0,1380099000000.0,149386000000.0,-3871220000000.0,1079729000000.0,1380099000000.0
