period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018-Q1,6458767000000.0,11262193000000.0,6253885000000.0,13404211000000.0,-7150326000000.0,0.0,0.0,0.0,5008308000000.0,6332256000000.0,-1323948000000.0,0.0,0.0,0.0,3214509000000.0,0.0,2805312000000.0,412645000000.0,-3448000000.0,1114094907000000.0,1047923020000000.0,66171887000000.0,37234046000000.0,8974710000000.0,0.0,0.0,0.0,569484000000.0,11603442000000.0,0.0,1114094907000000.0,14178763000000.0,104458035000000.0,4331351000000.0,4355055000000.0,-23704000000.0,651838000000.0,816310042000000.0,826357266000000.0,-10047224000000.0,118456926000000.0,116258348000000.0,2726748000000.0,-528170000000.0,34772483000000.0,28084689000000.0,111967071000000.0,789272736000000.0,0.0,6500627000000.0,22501764000000.0,89596133000000.0,46208756000000.0,0.0,0.0,7484222000000.0,50916519000000.0,3396252000000.0,7529003000000.0,7698921000000.0,202304171000000.0,0.0,0.0,0.0,28206474000000.0,305983000000.0,99422959000000.0,5035076000000.0,0.0,0.0,0.0,0.0,16816870000000.0,14727284000000.0,0.0,3235952000000.0,2269000000.0,-7623000000.0,62391015000000.0,49576056000000.0,13484346000000.0,75765982000000.0,345805000000.0,0.0,0.0,2805312000000.0
2018-Q2,8080738000000.0,11214019000000.0,6212443000000.0,13554513000000.0,-7342070000000.0,0.0,0.0,0.0,5001576000000.0,6390484000000.0,-1388908000000.0,0.0,0.0,0.0,3141561000000.0,0.0,2730608000000.0,412645000000.0,-1692000000.0,1140117457000000.0,1072074994000000.0,68042463000000.0,37234046000000.0,8974710000000.0,0.0,0.0,0.0,657437000000.0,13372385000000.0,0.0,1140117457000000.0,4381164000000.0,82099838000000.0,3113598000000.0,3166704000000.0,-53106000000.0,0.0,855081224000000.0,867566175000000.0,-12484951000000.0,137510740000000.0,135336693000000.0,2651129000000.0,-477082000000.0,35494575000000.0,50176449000000.0,84202709000000.0,852447029000000.0,98116000000.0,6545121000000.0,31116883000000.0,47488687000000.0,46208756000000.0,0.0,0.0,7493676000000.0,54939087000000.0,0.0,3464136000000.0,3553248000000.0,138850314000000.0,0.0,0.0,0.0,26861462000000.0,310209000000.0,78453198000000.0,3646640000000.0,0.0,0.0,0.0,0.0,17646645000000.0,14642754000000.0,0.0,3212935000000.0,1815000000.0,-7759000000.0,49662200000000.0,34540509000000.0,14262328000000.0,0.0,32880449000000.0,345910000000.0,0.0,2730608000000.0
2018-Q3,6945214000000.0,11065778000000.0,6117501000000.0,13657206000000.0,-7539705000000.0,0.0,0.0,0.0,4948277000000.0,6390557000000.0,-1442280000000.0,0.0,0.0,0.0,3276573000000.0,0.0,2865620000000.0,412645000000.0,-1692000000.0,1172517257000000.0,1102602132000000.0,69915125000000.0,37234046000000.0,8974698000000.0,0.0,0.0,0.0,682091000000.0,15153067000000.0,0.0,1172517257000000.0,7990998000000.0,103957229000000.0,1772106000000.0,1844309000000.0,-72203000000.0,104283000000.0,875799289000000.0,891617481000000.0,-15818192000000.0,124180204000000.0,121913144000000.0,2770774000000.0,-503714000000.0,37425583000000.0,60513882000000.0,123346939000000.0,825749141000000.0,0.0,6598132000000.0,41116885000000.0,45277153000000.0,46208744000000.0,0.0,0.0,7559591000000.0,58287670000000.0,3521835000000.0,9146099000000.0,9362255000000.0,149387763000000.0,0.0,0.0,0.0,58287670000.0,311632000000.0,101773546000000.0,2183683000000.0,0.0,0.0,0.0,0.0,18844758000000.0,15303397000000.0,0.0,3285255000000.0,1361000000.0,-7827000000.0,75481313000000.0,47865626000000.0,15532918000000.0,0.0,29399284000000.0,344951000000.0,0.0,2865620000000.0
2018-Q4,7028347000000.0,11114703000000.0,6193478000000.0,13925392000000.0,-7731914000000.0,0.0,0.0,0.0,4921225000000.0,6424369000000.0,-1503144000000.0,0.0,0.0,0.0,3310455000000.0,0.0,2899502000000.0,412645000000.0,-1692000000.0,1164318266000000.0,1096849459000000.0,67468807000000.0,37234046000000.0,8974698000000.0,207470000000.0,0.0,0.0,588950000000.0,12009703000000.0,0.0,1164318266000000.0,23182208000000.0,130562013000000.0,3249935000000.0,3379561000000.0,-129626000000.0,281166000000.0,851921034000000.0,864925948000000.0,-13004914000000.0,101947808000000.0,88416344000000.0,16227592000000.0,-2696128000000.0,31720597000000.0,62600159000000.0,110873268000000.0,825816119000000.0,0.0,5934029000000.0,46216359000000.0,45409525000000.0,46416214000000.0,0.0,0.0,8153616000000.0,3058616000000.0,0.0,2507667000000.0,2724166000000.0,162095267000000.0,0.0,0.0,0.0,37414889000000.0,300324000000.0,126467402000000.0,4094611000000.0,0.0,0.0,0.0,0.0,21423074000000.0,6905419000000.0,0.0,3401040000000.0,907000000.0,-8936000000.0,73941924000000.0,36931344000000.0,15820408000000.0,0.0,29165846000000.0,423271000000.0,2899502000000.0,0.0
2019-Q1,7159806000000.0,10923490000000.0,6031026000000.0,13943880000000.0,-7912854000000.0,0.0,0.0,0.0,4892464000000.0,6449080000000.0,-1556616000000.0,0.0,0.0,0.0,3572318000000.0,0.0,3016965000000.0,557045000000.0,-1692000000.0,1146773760000000.0,1076648264000000.0,70125496000000.0,37234046000000.0,8974698000000.0,207470000000.0,0.0,0.0,716735000000.0,14512713000000.0,0.0,1146773760000000.0,32079140000000.0,110916146000000.0,4873810000000.0,4969738000000.0,-95928000000.0,317945000000.0,845319469000000.0,861590291000000.0,-16270822000000.0,96965471000000.0,83506493000000.0,16238985000000.0,-2780007000000.0,34646165000000.0,58048220000000.0,95782417000000.0,824612550000000.0,0.0,5906646000000.0,46216359000000.0,46082072000000.0,46416214000000.0,0.0,0.0,8172689000000.0,52791090000000.0,3056795000000.0,6384869000000.0,6602054000000.0,216953144000000.0,0.0,0.0,62087642000000.0,32171707000000.0,307145000000.0,107951788000000.0,2964358000000.0,0.0,0.0,0.0,0.0,24286438000000.0,6963372000000.0,0.0,3405329000000.0,454000000.0,-8974000000.0,81969505000000.0,13812912000000.0,16204162000000.0,0.0,29434182000000.0,443728000000.0,3016965000000.0,0.0
2019-Q2,7557058000000.0,10513334000000.0,5911147000000.0,13985256000000.0,-8074109000000.0,0.0,0.0,0.0,4602187000000.0,6209563000000.0,-1607376000000.0,0.0,0.0,0.0,3280430000000.0,0.0,3016965000000.0,264652000000.0,-1187000000.0,1183795177000000.0,1111297934000000.0,72497243000000.0,37234046000000.0,8974698000000.0,520619000000.0,0.0,0.0,768361000000.0,16231997000000.0,0.0,1183795177000000.0,31819095000000.0,120643395000000.0,8176232000000.0,8329452000000.0,-153220000000.0,275014000000.0,872427307000000.0,885535114000000.0,-13107807000000.0,93309850000000.0,83477464000000.0,16013551000000.0,-6181165000000.0,35793462000000.0,71482368000000.0,96386168000000.0,846859983000000.0,0.0,5901876000000.0,59516363000000.0,31151176000000.0,46729363000000.0,0.0,0.0,8178825000000.0,51353950000000.0,1909156000000.0,2775229000000.0,2996770000000.0,189999903000000.0,0.0,0.0,56356459000000.0,19413365000000.0,588697000000.0,116966127000000.0,3677268000000.0,0.0,0.0,0.0,0.0,25557089000000.0,6935008000000.0,0.0,3310254000000.0,0.0,-8889000000.0,81464976000000.0,14921192000000.0,15777249000000.0,0.0,14945796000000.0,428131000000.0,3016965000000.0,0.0
2019-Q3,9126688000000.0,10246291000000.0,5852656000000.0,14074858000000.0,-8222202000000.0,0.0,0.0,0.0,4393635000000.0,6044788000000.0,-1651153000000.0,0.0,0.0,0.0,3363900000000.0,0.0,3016965000000.0,348122000000.0,-1187000000.0,1202209786000000.0,1127331143000000.0,74878643000000.0,37234046000000.0,8974698000000.0,515893000000.0,0.0,0.0,662436000000.0,18752062000000.0,0.0,1202209786000000.0,23706522000000.0,124579397000000.0,6156938000000.0,6335465000000.0,-178527000000.0,166316000000.0,882446539000000.0,899056206000000.0,-16609667000000.0,107800001000000.0,97943709000000.0,16013551000000.0,-6157259000000.0,34617194000000.0,73504342000000.0,93380834000000.0,865466194000000.0,0.0,5816935000000.0,55116359000000.0,34046479000000.0,46724637000000.0,0.0,0.0,8178233000000.0,50677973000000.0,1778424000000.0,7359990000000.0,7581399000000.0,205034785000000.0,0.0,0.0,55679019000000.0,17206949000000.0,561275000000.0,120226343000000.0,4353054000000.0,0.0,0.0,0.0,0.0,24289662000000.0,6860176000000.0,0.0,3476403000000.0,0.0,-9047000000.0,66742106000000.0,26638728000000.0,16805727000000.0,0.0,16746116000000.0,494636000000.0,3016965000000.0,0.0
2019-Q4,8282726000000.0,10996975000000.0,6422382000000.0,14817602000000.0,-8395220000000.0,0.0,0.0,0.0,4574593000000.0,6302326000000.0,-1727733000000.0,0.0,0.0,0.0,3352087000000.0,0.0,3016965000000.0,335122000000.0,0.0,1240789413000000.0,1163433833000000.0,77355580000000.0,37234046000000.0,8974683000000.0,515453000000.0,0.0,0.0,625493000000.0,19837055000000.0,0.0,1240789413000000.0,24873714000000.0,129315202000000.0,3825374000000.0,4051245000000.0,-225871000000.0,469712000000.0,922330111000000.0,935270945000000.0,-12940834000000.0,104614674000000.0,97131414000000.0,15367993000000.0,-7884733000000.0,32728838000000.0,70602893000000.0,109483059000000.0,892782111000000.0,0.0,5775899000000.0,57066353000000.0,27723518000000.0,46724182000000.0,0.0,0.0,9606080000000.0,51550780000000.0,526118000000.0,4525641000000.0,4741892000000.0,180917927000000.0,0.0,0.0,34487895000000.0,20798816000000.0,562770000000.0,123011442000000.0,6303760000000.0,0.0,0.0,0.0,0.0,22436655000000.0,6664114000000.0,0.0,3639146000000.0,0.0,-11077000000.0,82538040000000.0,26945019000000.0,17835101000000.0,0.0,9402729000000.0,485688000000.0,3016965000000.0,0.0
2020-Q1,7357800000000.0,11009239000000.0,6492772000000.0,15068718000000.0,-8575946000000.0,0.0,0.0,0.0,4516467000000.0,6301949000000.0,-1785482000000.0,0.0,0.0,0.0,3444235000000.0,0.0,3203573000000.0,240662000000.0,0.0,1222651543000000.0,1143840309000000.0,78811234000000.0,37234046000000.0,8974683000000.0,515908000000.0,0.0,0.0,641684000000.0,21287557000000.0,0.0,1222651543000000.0,25157456000000.0,126351102000000.0,1062874000000.0,1402836000000.0,-339962000000.0,0.0,910544322000000.0,923623069000000.0,-13078747000000.0,104957339000000.0,98083693000000.0,12244371000000.0,-5370725000000.0,32767176000000.0,64983557000000.0,91560433000000.0,895750503000000.0,150870000000.0,5812081000000.0,57066368000000.0,28516497000000.0,46724637000000.0,0.0,0.0,9605683000000.0,48198096000000.0,540683000000.0,11507839000000.0,11730313000000.0,302741274000000.0,0.0,0.0,0.0,25475425000000.0,551673000000.0,121607273000000.0,4743829000000.0,0.0,0.0,0.0,0.0,22185142000000.0,7068925000000.0,0.0,3524186000000.0,0.0,-11077000000.0,72272867000000.0,19287566000000.0,18700585000000.0,0.0,9337604000000.0,478308000000.0,3203573000000.0,0.0
2020-Q2,8172306000000.0,10795062000000.0,6335805000000.0,15074957000000.0,-8739152000000.0,0.0,0.0,0.0,4459257000000.0,6302749000000.0,-1843492000000.0,0.0,0.0,0.0,3122888000000.0,0.0,2915450000000.0,240662000000.0,-33224000000.0,1239556783000000.0,1158537342000000.0,81019441000000.0,37234046000000.0,8974683000000.0,515908000000.0,0.0,0.0,543560000000.0,23579527000000.0,0.0,1239556783000000.0,12877566000000.0,130011162000000.0,1720065000000.0,1939636000000.0,-219571000000.0,461071000000.0,928563088000000.0,941487524000000.0,-12924436000000.0,108755067000000.0,103400956000000.0,9259865000000.0,-3905754000000.0,35078508000000.0,44380201000000.0,113721935000000.0,913319796000000.0,0.0,5703857000000.0,51266354000000.0,30145199000000.0,46724637000000.0,0.0,0.0,9607617000000.0,47435201000000.0,512439000000.0,7459199000000.0,7674383000000.0,340338371000000.0,0.0,0.0,37931128000000.0,35641810000000.0,564100000000.0,126128195000000.0,3882967000000.0,0.0,0.0,0.0,0.0,24132303000000.0,7485685000000.0,0.0,3493274000000.0,0.0,-32754000000.0,96725027000000.0,16996908000000.0,17347902000000.0,0.0,12381590000000.0,415707000000.0,2915450000000.0,0.0
