period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018-Q1,4875201000000.0,0.0,-12397893000000.0,-67369000000.0,1193000000.0,0.0,0.0,-1413000000.0,-71531000000.0,0.0,0.0,0.0,131707327000000.0,18883000000.0,119256786000000.0,-154727000000.0,0.0,400745000000.0,7455345000000.0,-123076000000.0,-33195647000000.0,0.0,-2473560000000.0,-3748274000000.0,12877790000000.0,-3191694000000.0,36337398000000.0,0.0,136469000000.0,-9000000.0,0.0,-31756464000000.0,-12405776000000.0,7883000000.0,0.0,-3942000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17422120000000.0,-9276654000000.0,663570000000.0,-899709000000.0,0.0,7022000000.0,-3221112000000.0,334691000000.0,-899709000000.0
2018-Q2,5368665000000.0,0.0,-14189047000000.0,-320814000000.0,1044000000.0,0.0,0.0,184293000000.0,-136119000000.0,0.0,0.0,0.0,119256786000000.0,87953000000.0,105019573000000.0,-645057000000.0,0.0,-12269188000000.0,10751425000000.0,651838000000.0,-41021261000000.0,0.0,-187648000000.0,-908304000000.0,22091760000000.0,-27764362000000.0,63174293000000.0,98116000000.0,44494000000.0,8615119000000.0,0.0,-42826111000000.0,-14181164000000.0,-7883000000.0,0.0,-642000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18576519000000.0,-10545955000000.0,662779000000.0,214944000000.0,0.0,19477000000.0,-3371443000000.0,457401000000.0,214944000000.0
2018-Q3,6849398000000.0,0.0,29736697000000.0,-328178000000.0,0.0,0.0,0.0,147864000000.0,-180314000000.0,0.0,0.0,0.0,105019573000000.0,24654000000.0,134600610000000.0,-322725000000.0,0.0,15065136000000.0,4810499000000.0,-104283000000.0,-24005648000000.0,0.0,-45658000000.0,-1098496000000.0,10337433000000.0,39144230000000.0,-26697888000000.0,-98116000000.0,53011000000.0,10000002000000.0,0.0,-4472923000000.0,29736697000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640831000000.0,-10416255000000.0,896755000000.0,401950000000.0,0.0,448288000000.0,-2799446000000.0,0.0,401950000000.0
2018-Q4,8286145000000.0,0.0,21923099000000.0,-308943000000.0,3847000000.0,0.0,0.0,36543000000.0,-269006000000.0,0.0,0.0,0.0,134600610000000.0,-93141000000.0,156161562000000.0,-450746000000.0,0.0,-1568175000000.0,-245270000000.0,-176883000000.0,26691533000000.0,0.0,0.0,-4866209000000.0,2086277000000.0,-12473671000000.0,66978000000.0,0.0,-664103000000.0,5099474000000.0,0.0,-312997000000.0,21923099000000.0,0.0,0.0,-453000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27085129000000.0,-17930441000000.0,534970000000.0,2299225000000.0,0.0,-527617000000.0,-3900994000000.0,1176619000000.0,2299225000000.0
2019-Q1,7649566000000.0,0.0,-9139963000000.0,-187876000000.0,967000000.0,0.0,0.0,3200000000.0,-184204000000.0,0.0,0.0,0.0,155544719000000.0,117133000000.0,146337685000000.0,-43747000000.0,0.0,1251297000000.0,3358281000000.0,-36779000000.0,3335657000000.0,0.0,0.0,-2569672000000.0,-4551939000000.0,-15617195000000.0,-1203569000000.0,0.0,-27383000000.0,0.0,0.0,-728227000000.0,-9139963000000.0,0.0,0.0,-495000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19658178000000.0,-11360357000000.0,1041412000000.0,1213870000000.0,0.0,-61289000000.0,-3019964000000.0,221463000000.0,1213870000000.0
2019-Q2,5505936000000.0,0.0,7013876000000.0,100813000000.0,237191000000.0,0.0,304905000000.0,325007000000.0,749157000000.0,593300000000.0,-211000000.0,593089000000.0,146337685000000.0,210533000000.0,154904340000000.0,-422473000000.0,0.0,-1188657000000.0,-3105251000000.0,42931000000.0,-19897530000000.0,0.0,-4047293000000.0,-5230205000000.0,13434148000000.0,603751000000.0,22247433000000.0,0.0,-4770000000.0,13300004000000.0,0.0,-14646621000000.0,7013876000000.0,0.0,0.0,-218759000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20186724000000.0,-12478590000000.0,979939000000.0,493894000000.0,0.0,670000000.0,-3506979000000.0,252751000000.0,493894000000.0
2019-Q3,7828127000000.0,0.0,-2825945000000.0,87851000000.0,146057000000.0,0.0,-83470000000.0,10449000000.0,129283000000.0,-6433000000.0,-25913000000.0,-32346000000.0,154904340000000.0,-212948000000.0,151962384000000.0,-419131000000.0,0.0,-335015000000.0,-12472258000000.0,108698000000.0,-13521191000000.0,0.0,99000000.0,1150364000000.0,2021974000000.0,-3005334000000.0,18606211000000.0,0.0,-84941000000.0,-4400004000000.0,0.0,1277325000000.0,-2825945000000.0,0.0,0.0,-31604000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21081093000000.0,-11490753000000.0,1167604000000.0,496792000000.0,0.0,1129248000000.0,-2989235000000.0,-1147491000000.0,496792000000.0
2019-Q4,6719662000000.0,0.0,3478049000000.0,-381385000000.0,3419000000.0,0.0,13000000000.0,28937000000.0,-336599000000.0,15000000.0,0.0,15000000.0,151964855000000.0,-62693000000.0,155043627000000.0,-614747000000.0,0.0,-1977792000000.0,3742073000000.0,-303396000000.0,-31671388000000.0,0.0,-4543351000000.0,-3395649000000.0,-2901449000000.0,16102225000000.0,27315917000000.0,0.0,-41036000000.0,1949994000000.0,0.0,-7515541000000.0,3480269000000.0,-2220000000.0,0.0,-570000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22049308000000.0,-12196226000000.0,1080527000000.0,472271000000.0,0.0,-1271947000000.0,-4810755000000.0,2011231000000.0,472271000000.0
2020-Q1,6851391000000.0,0.0,-1765883000000.0,-276246000000.0,354000000.0,0.0,23990000000.0,2385000000.0,-249561000000.0,0.0,0.0,0.0,155046744000000.0,16685000000.0,153047985000000.0,-630432000000.0,0.0,1679841000000.0,5719509000000.0,469712000000.0,14532140000000.0,0.0,-6018467000000.0,-3966321000000.0,-5619336000000.0,-17922626000000.0,2965275000000.0,150870000000.0,36182000000.0,15000000.0,0.0,-644068000000.0,-1765883000000.0,0.0,0.0,-44000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20932962000000.0,-12231214000000.0,1090700000000.0,1314413000000.0,0.0,110748000000.0,-4032175000000.0,296389000000.0,1314413000000.0
2020-Q2,5612909000000.0,0.0,-6308963000000.0,-91829000000.0,11519000000.0,0.0,0.0,22313000000.0,-65161000000.0,0.0,-19527000000.0,-19527000000.0,153047985000000.0,-204490000000.0,146449844000000.0,-14421000000.0,0.0,1207183000000.0,-1732289000000.0,-461071000000.0,-16760409000000.0,0.0,-3855352000000.0,-3956373000000.0,-20603356000000.0,22161502000000.0,17569293000000.0,-150870000000.0,-108224000000.0,-5800014000000.0,0.0,568108000000.0,-6308963000000.0,0.0,0.0,-7164000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19926772000000.0,-13915522000000.0,1202316000000.0,0.0,678939000000.0,-63263000000.0,-2496242000000.0,294330000000.0,678939000000.0
