date_key,stock_key,open_price,high_price,low_price,close_price,trading_volume,audit_key,_created_at,_updated_at,_source_file
20140124,1,8.14,8.35,7.93,8.05,8417060,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140127,1,8.01,8.05,7.75,7.88,3240910,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140206,1,7.8,7.84,7.54,7.54,959590,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140207,1,7.45,7.5,7.07,7.11,2987600,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140210,1,7.07,7.37,6.94,7.28,4052090,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140211,1,7.37,7.37,7.24,7.24,1938480,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140212,1,7.2,7.24,7.15,7.2,1176180,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140213,1,7.2,7.24,7.11,7.11,2156140,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140214,1,7.2,7.28,7.11,7.2,1489380,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140217,1,7.24,7.24,7.11,7.15,1173560,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140218,1,7.15,7.15,7.11,7.11,1861540,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
20140219,1,7.15,7.2,7.07,7.11,2988120,20260630144049,2026-06-30 07:40:49.090113,2026-06-30 07:40:49.090113,bid_stock_history.csv
