period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018-Q1,957757000000.0,0.0,-8163415000000.0,-15166000000.0,2398000000.0,0.0,894428000000.0,0.0,883680000000.0,0.0,0.0,8631761000000.0,22681199000000.0,4264000000.0,24037489000000.0,-850636000000.0,0.0,-1043807000000.0,1208146000000.0,-77603000000.0,-3099317000000.0,0.0,-1131589000000.0,1354026000000.0,0.0,-20922854000000.0,11419720000000.0,0.0,0.0,2434093000000.0,0.0,738013000000.0,-8163415000000.0,0.0,0.0,0.0,0.0,2020000000.0,0.0,8631761000000.0,0.0,0.0,0.0,4456617000000.0,-2336864000000.0,491695000000.0,509749000000.0,0.0,67951000000.0,-1542108000000.0,161353000000.0,509749000000.0
2018-Q2,2948562000000.0,0.0,19534066000000.0,-28496000000.0,4437000000.0,894427000000.0,-894428000000.0,276000000.0,-34251000000.0,0.0,0.0,6517507000000.0,24037489000000.0,-4614000000.0,50050197000000.0,-319364000000.0,0.0,1592735000000.0,621781000000.0,113895000000.0,-2752067000000.0,0.0,0.0,-1237058000000.0,0.0,12305331000000.0,4892656000000.0,67057000000.0,0.0,30233000000.0,0.0,950941000000.0,19534066000000.0,0.0,0.0,-8447000000.0,0.0,-2020000000.0,0.0,-8631761000000.0,-1200000000000.0,0.0,16349268000000.0,4644611000000.0,-2194066000000.0,687924000000.0,0.0,401406000000.0,53886000000.0,-635746000000.0,309911000000.0,401406000000.0
2018-Q3,2594128000000.0,0.0,-5809515000000.0,-128196000000.0,-6060000000.0,0.0,0.0,0.0,-128042000000.0,0.0,0.0,-1507761000000.0,50050197000000.0,-149000000.0,42604730000000.0,-358451000000.0,0.0,-2683634000000.0,-12694115000000.0,0.0,-238429000000.0,0.0,-1094762000000.0,-1804546000000.0,0.0,1865123000000.0,7299923000000.0,315615000000.0,0.0,-164231000000.0,0.0,795413000000.0,-5809515000000.0,0.0,0.0,6214000000.0,0.0,0.0,0.0,0.0,-1500000000000.0,0.0,-7761000000.0,4314036000000.0,-2077215000000.0,933786000000.0,218307000000.0,0.0,114824000000.0,-896635000000.0,345476000000.0,218307000000.0
2018-Q4,3332796000000.0,0.0,-5302007000000.0,-214783000000.0,0.0,0.0,1000000.0,-1000000.0,-214852000000.0,0.0,0.0,57871000000.0,42604730000000.0,499000000.0,37146241000000.0,-612307000000.0,0.0,4601229000000.0,-25071363000000.0,0.0,6996802000000.0,0.0,-326853000000.0,-1514548000000.0,3024907000000.0,-3145865000000.0,8888324000000.0,-72359000000.0,0.0,-4062106000000.0,0.0,2047088000000.0,-5301948000000.0,-59000000.0,0.0,-69000000.0,0.0,0.0,0.0,310000000000.0,-310000000000.0,0.0,57871000000.0,5874100000000.0,-2755281000000.0,1422599000000.0,180839000000.0,0.0,-25779000000.0,-1357530000000.0,606155000000.0,180839000000.0
2019-Q1,2950197000000.0,0.0,6253458000000.0,-10355000000.0,21389000000.0,0.0,0.0,34000000.0,11038000000.0,58201000000.0,0.0,58201000000.0,37198979000000.0,174000000.0,43521850000000.0,-908222000000.0,0.0,-881179000000.0,897706000000.0,0.0,-3896218000000.0,0.0,-71000000.0,3458050000000.0,-3325995000000.0,2217229000000.0,6563680000000.0,80952000000.0,0.0,-312075000000.0,0.0,-1498791000000.0,6253485000000.0,-27000000.0,0.0,-30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6930019000000.0,-2558130000000.0,681443000000.0,276784000000.0,0.0,84950000000.0,-1714457000000.0,157810000000.0,276784000000.0
2019-Q2,3558892000000.0,0.0,3716830000000.0,-109638000000.0,799000000.0,0.0,0.0,146000000.0,-108693000000.0,-58201000000.0,0.0,12137000000.0,43521850000000.0,-244000000.0,47141880000000.0,-517741000000.0,0.0,2398465000000.0,-10330607000000.0,0.0,-21596730000000.0,0.0,-90853000000.0,-1743543000000.0,363825000000.0,18320143000000.0,12284291000000.0,-22650000000.0,0.0,-223727000000.0,0.0,801365000000.0,3718871000000.0,-2041000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70338000000.0,6108199000000.0,-2442644000000.0,621170000000.0,0.0,286926000000.0,258692000000.0,-1022721000000.0,267011000000.0,286926000000.0
2019-Q3,2978841000000.0,0.0,797364000000.0,-53557000000.0,4424000000.0,0.0,0.0,4016000000.0,-45271000000.0,0.0,0.0,-1000000000000.0,47141880000000.0,44000000.0,46894017000000.0,-333212000000.0,0.0,-4479060000000.0,20013100000000.0,0.0,-19884867000000.0,0.0,0.0,-2925472000000.0,-1062737000000.0,1894660000000.0,-1607942000000.0,-62616000000.0,0.0,2846453000000.0,0.0,3094613000000.0,804973000000.0,-7609000000.0,0.0,-154000000.0,0.0,0.0,0.0,0.0,-1000000000000.0,0.0,0.0,6121846000000.0,-2938202000000.0,551640000000.0,494898000000.0,0.0,128016000000.0,-1240079000000.0,193934000000.0,494898000000.0
2019-Q4,3519979000000.0,0.0,1959151000000.0,-84071000000.0,4816000000.0,0.0,0.0,20000000.0,-79319000000.0,35428000000.0,0.0,-2164572000000.0,46894017000000.0,26000000.0,46609303000000.0,-919744000000.0,0.0,5090304000000.0,7450674000000.0,0.0,-25484995000000.0,0.0,-166021000000.0,-3459802000000.0,0.0,2409043000000.0,10642080000000.0,128009000000.0,0.0,5172024000000.0,0.0,-3341908000000.0,1959387000000.0,-236000000.0,0.0,-84000000.0,0.0,0.0,0.0,0.0,-2200000000000.0,0.0,0.0,6724479000000.0,-2926037000000.0,1109095000000.0,645261000000.0,0.0,13366000000.0,-1587922000000.0,461481000000.0,645261000000.0
2020-Q1,2172677000000.0,0.0,3884034000000.0,-194696000000.0,358000000.0,0.0,0.0,0.0,-194338000000.0,-5000000.0,0.0,-5000000.0,46514302000000.0,12359000000.0,50216352000000.0,-849614000000.0,0.0,4612825000000.0,-5242768000000.0,0.0,-1219045000000.0,0.0,-693407000000.0,-1976608000000.0,1003839000000.0,1659224000000.0,3802031000000.0,-48543000000.0,0.0,11468000000.0,0.0,-197654000000.0,3884039000000.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5607415000000.0,-2636032000000.0,1186828000000.0,781672000000.0,0.0,206942000000.0,-2260756000000.0,136222000000.0,781672000000.0
2020-Q2,5488218000000.0,0.0,-1273819000000.0,-61282000000.0,4847000000.0,0.0,0.0,39000000.0,-56396000000.0,0.0,-37079000000.0,-37079000000.0,50216352000000.0,-13463000000.0,48835595000000.0,-32225000000.0,0.0,-4644914000000.0,2533457000000.0,0.0,355285000000.0,0.0,-1053270000000.0,-4245587000000.0,-1003839000000.0,-19348239000000.0,14758477000000.0,-20767000000.0,0.0,5932380000000.0,0.0,-25001000000.0,-1273800000000.0,-19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7681446000000.0,-2353742000000.0,1104447000000.0,0.0,147572000000.0,368999000000.0,-1553840000000.0,125561000000.0,147572000000.0
