period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018-Q1,9656186000000.0,6077063000000.0,4128275000000.0,9799439000000.0,-5671164000000.0,0.0,0.0,0.0,1948788000000.0,2606865000000.0,-658077000000.0,0.0,0.0,0.0,3398372000000.0,0.0,887024000000.0,2536486000000.0,-25138000000.0,1003905794000000.0,947840056000000.0,56065738000000.0,35977686000000.0,0.0,0.0,0.0,83285000000.0,96485000000.0,12217085000000.0,0.0,1003905794000000.0,27848779000000.0,157073981000000.0,12497227000000.0,12565202000000.0,-67975000000.0,945052000000.0,568031472000000.0,577614527000000.0,-9583055000000.0,205137354000000.0,99846994000000.0,105458038000000.0,-167678000000.0,13240308000000.0,131380979000000.0,40590347000000.0,730986638000000.0,0.0,26758000000.0,18295001000000.0,26560333000000.0,36321931000000.0,344245000000.0,0.0,7253682000000.0,40799011000000.0,282978000000.0,23582419000000.0,53212889000000.0,0.0,0.0,0.0,0.0,303656000000.0,93270000000.0,107376389000000.0,49697592000000.0,0.0,0.0,0.0,0.0,4602047000000.0,6386923000000.0,5546000000.0,2247644000000.0,0.0,-1852000000.0,35261051000000.0,5329296000000.0,8486716000000.0,20030000000.0,18053587000000.0,0.0,0.0,887024000000.0
2018-Q2,12662976000000.0,5993507000000.0,4044348000000.0,9889778000000.0,-5845430000000.0,0.0,0.0,0.0,1949159000000.0,2621576000000.0,-672417000000.0,0.0,0.0,0.0,3289920000000.0,0.0,889540000000.0,2425519000000.0,-25139000000.0,977681955000000.0,919078771000000.0,58603184000000.0,35977686000000.0,0.0,344657000000.0,0.0,105280000000.0,80804000000.0,14737469000000.0,0.0,977681955000000.0,13341730000000.0,142502643000000.0,8289267000000.0,8359718000000.0,-70451000000.0,0.0,596234984000000.0,606052672000000.0,-9817688000000.0,182871587000000.0,66150721000000.0,117011609000000.0,-290743000000.0,12495341000000.0,71700823000000.0,39529573000000.0,764496671000000.0,375822000000.0,28274000000.0,21172268000000.0,21775340000000.0,36322343000000.0,0.0,0.0,7258817000000.0,44720447000000.0,0.0,19345264000000.0,80658371000000.0,0.0,0.0,0.0,0.0,309479000000.0,98471000000.0,106228747000000.0,36273896000000.0,0.0,0.0,0.0,0.0,4226959000000.0,6517366000000.0,5863000000.0,1748600000000.0,0.0,-3447000000.0,36604573000000.0,2925000000000.0,8152601000000.0,20447000000.0,13602292000000.0,0.0,0.0,889540000000.0
2018-Q3,9857302000000.0,6140145000000.0,4204238000000.0,10225743000000.0,-6021505000000.0,0.0,0.0,0.0,1935907000000.0,2621736000000.0,-685829000000.0,0.0,0.0,0.0,3213660000000.0,0.0,889726000000.0,2349073000000.0,-25139000000.0,995111405000000.0,933584926000000.0,61526479000000.0,35977686000000.0,0.0,344657000000.0,0.0,107274000000.0,108454000000.0,17650348000000.0,0.0,995111405000000.0,30488651000000.0,152373565000000.0,3744047000000.0,3819597000000.0,-75550000000.0,14493000000.0,616408960000000.0,627950675000000.0,-11541715000000.0,159115162000000.0,40997646000000.0,118446566000000.0,-329050000000.0,13755420000000.0,81234750000000.0,34175703000000.0,773406098000000.0,0.0,27050000000.0,21095279000000.0,23646046000000.0,36322343000000.0,0.0,0.0,7254472000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83588000000.0,99535717000000.0,52838877000000.0,-1029000000.0,0.0,0.0,0.0,3985848000000.0,8165526000000.0,5857000000.0,1601635000000.0,0.0,-3446000000.0,31218203000000.0,2957500000000.0,8530721000000.0,20834000000.0,15094491000000.0,0.0,0.0,889726000000.0
2018-Q4,12792045000000.0,6527924000000.0,4459750000000.0,10534515000000.0,-6074765000000.0,0.0,0.0,0.0,2068174000000.0,2772517000000.0,-704343000000.0,0.0,0.0,0.0,2477138000000.0,0.0,908719000000.0,1635418000000.0,-66999000000.0,1072983278000000.0,1009094189000000.0,63889089000000.0,35977686000000.0,0.0,344657000000.0,0.0,119031000000.0,84402000000.0,20029479000000.0,0.0,1072983278000000.0,10845701000000.0,248255997000000.0,2653746000000.0,2725051000000.0,-71305000000.0,275983000000.0,622358428000000.0,632632508000000.0,-10274080000000.0,149296310000000.0,35321139000000.0,114251030000000.0,-275859000000.0,17500006000000.0,90685315000000.0,76523514000000.0,802222944000000.0,0.0,25803000000.0,21461132000000.0,18175481000000.0,36322343000000.0,0.0,0.0,7264843000000.0,53914903000000.0,237483000000.0,12471111000000.0,49360171000000.0,0.0,0.0,0.0,0.0,94543000000.0,68991000000.0,185814063000000.0,63441934000000.0,-1000000000000.0,0.0,0.0,0.0,4195050000000.0,7409957000000.0,6928000000.0,5891593000000.0,0.0,-3522000000.0,75245114000000.0,1278400000000.0,8717557000000.0,19291000000.0,9438633000000.0,0.0,898380000000.0,10339000000.0
2019-Q1,10339124000000.0,6379677000000.0,4294994000000.0,10528483000000.0,-6233489000000.0,0.0,0.0,0.0,2084683000000.0,2802497000000.0,-717814000000.0,0.0,0.0,0.0,2505232000000.0,0.0,936812000000.0,1635418000000.0,-66998000000.0,1073331964000000.0,1000340086000000.0,72991878000000.0,37088774000000.0,4995400000000.0,344657000000.0,0.0,118856000000.0,79973000000.0,20845932000000.0,0.0,1073331964000000.0,39616873000000.0,169677886000000.0,4064542000000.0,4133808000000.0,-69266000000.0,95343000000.0,661260823000000.0,673021770000000.0,-11760947000000.0,155710612000000.0,33580660000000.0,122424846000000.0,-294894000000.0,23681852000000.0,79113565000000.0,39264447000000.0,838277163000000.0,0.0,25339000000.0,21349085000000.0,22310487000000.0,42428831000000.0,0.0,0.0,9445732000000.0,53798255000000.0,272796000000.0,19538526000000.0,38731669000000.0,0.0,0.0,0.0,58877116000000.0,297536000000.0,72554000000.0,115193607000000.0,55484279000000.0,-1000000000000.0,0.0,0.0,0.0,6495706000000.0,7964540000000.0,5909000000.0,9219219000000.0,0.0,-3522000000.0,36941947000000.0,2322500000000.0,9636141000000.0,19243000000.0,12655103000000.0,0.0,925202000000.0,11610000000.0
2019-Q2,12011456000000.0,6439761000000.0,4259646000000.0,10662327000000.0,-6402681000000.0,0.0,0.0,0.0,2180115000000.0,2920876000000.0,-740761000000.0,0.0,0.0,0.0,2480250000000.0,0.0,959425000000.0,1587823000000.0,-66998000000.0,1122654558000000.0,1046257226000000.0,76397332000000.0,37088774000000.0,4995389000000.0,344657000000.0,0.0,116817000000.0,69370000000.0,24262720000000.0,0.0,1122654558000000.0,50092949000000.0,174170889000000.0,4986634000000.0,5053763000000.0,-67129000000.0,108943000000.0,682822870000000.0,695437925000000.0,-12615055000000.0,166995578000000.0,38707837000000.0,128735924000000.0,-448183000000.0,22545228000000.0,79605943000000.0,48792342000000.0,871229465000000.0,0.0,23911000000.0,21339119000000.0,25266446000000.0,42428820000000.0,0.0,0.0,9443149000000.0,55883998000000.0,311087000000.0,24383925000000.0,43719552000000.0,0.0,0.0,0.0,59424736000000.0,321731000000.0,76456000000.0,127209203000000.0,47961686000000.0,-1000000000000.0,0.0,0.0,0.0,10843905000000.0,7531378000000.0,6071000000.0,4167571000000.0,0.0,-3697000000.0,47155842000000.0,1636500000000.0,10142500000000.0,19421000000.0,15104525000000.0,0.0,946599000000.0,12826000000.0
2019-Q3,12321593000000.0,6322844000000.0,4146505000000.0,10711523000000.0,-6565018000000.0,0.0,0.0,0.0,2176339000000.0,2936192000000.0,-759853000000.0,0.0,0.0,0.0,2500312000000.0,0.0,979487000000.0,1587823000000.0,-66998000000.0,1157490007000000.0,1076099113000000.0,81390894000000.0,37088774000000.0,4995389000000.0,344657000000.0,0.0,115899000000.0,40434000000.0,29285510000000.0,0.0,1157490007000000.0,32427277000000.0,216739273000000.0,3454865000000.0,3531164000000.0,-76299000000.0,89200000000.0,693973370000000.0,708095934000000.0,-14122564000000.0,169626712000000.0,43498998000000.0,126563376000000.0,-435662000000.0,20034561000000.0,79127286000000.0,41331112000000.0,902184481000000.0,0.0,22116000000.0,21320813000000.0,32113305000000.0,42428820000000.0,0.0,0.0,9441199000000.0,58936570000000.0,294065000000.0,40360549000000.0,99934855000000.0,0.0,0.0,0.0,58255441000000.0,329625000000.0,79032000000.0,169161049000000.0,48578224000000.0,-1000000000000.0,0.0,0.0,0.0,9750429000000.0,8352322000000.0,5980000000.0,1929349000000.0,0.0,-3519000000.0,39520112000000.0,1811000000000.0,10680415000000.0,22390000000.0,21410500000000.0,0.0,970251000000.0,9236000000.0
2019-Q4,13778357000000.0,6695785000000.0,4434514000000.0,11146104000000.0,-6711590000000.0,0.0,0.0,0.0,2261271000000.0,3050668000000.0,-789397000000.0,0.0,0.0,0.0,2464493000000.0,0.0,951670000000.0,1587823000000.0,-75000000000.0,1223981046000000.0,1138227698000000.0,85753348000000.0,37088774000000.0,4995389000000.0,344657000000.0,0.0,113011000000.0,16840000000.0,33669545000000.0,0.0,1223981046000000.0,34684091000000.0,248729494000000.0,1801146000000.0,1889628000000.0,-88482000000.0,98312000000.0,724290102000000.0,734706891000000.0,-10416789000000.0,167529868000000.0,35699090000000.0,132271302000000.0,-440524000000.0,23909398000000.0,92365806000000.0,73621719000000.0,928413676000000.0,0.0,20431000000.0,21383932000000.0,22422134000000.0,42428820000000.0,0.0,0.0,9443008000000.0,53276574000000.0,292563000000.0,25775812000000.0,65818817000000.0,0.0,0.0,0.0,57406598000000.0,349311000000.0,82124000000.0,189359451000000.0,62370043000000.0,-3000000000000.0,0.0,0.0,0.0,11245771000000.0,8150282000000.0,5405000000.0,4511734000000.0,0.0,-3794000000.0,71051146000000.0,2570573000000.0,10382358000000.0,22023000000.0,12017753000000.0,0.0,940807000000.0,10863000000.0
2020-Q1,13051765000000.0,6551316000000.0,4285267000000.0,11176414000000.0,-6891147000000.0,0.0,0.0,0.0,2266049000000.0,3080303000000.0,-814254000000.0,0.0,0.0,0.0,2487109000000.0,0.0,974286000000.0,1587823000000.0,-75000000000.0,1144270262000000.0,1059198276000000.0,85071986000000.0,37088774000000.0,4995389000000.0,344657000000.0,0.0,115528000000.0,18249000000.0,30234825000000.0,0.0,1144270262000000.0,16569663000000.0,176540624000000.0,4119276000000.0,4251400000000.0,-132124000000.0,0.0,739956924000000.0,754505321000000.0,-14548397000000.0,164724158000000.0,33877042000000.0,131308990000000.0,-461874000000.0,20269427000000.0,32453089000000.0,43642452000000.0,934048243000000.0,365859000000.0,19090000000.0,21371902000000.0,27297641000000.0,42428820000000.0,0.0,0.0,12186084000000.0,54139232000000.0,295023000000.0,26691356000000.0,63493508000000.0,0.0,0.0,0.0,55362668000000.0,463619000000.0,88480000000.0,124434685000000.0,53105939000000.0,-1000000000000.0,0.0,0.0,0.0,9272066000000.0,8570014000000.0,408138000000.0,2022882000000.0,0.0,-3673000000.0,42548452000000.0,1094000000000.0,10802719000000.0,22514000000.0,16472408000000.0,0.0,962384000000.0,11902000000.0
2020-Q2,11863544000000.0,6723876000000.0,4409846000000.0,11485262000000.0,-7075416000000.0,0.0,0.0,0.0,2314030000000.0,3161694000000.0,-847664000000.0,0.0,0.0,0.0,2329091000000.0,0.0,725965000000.0,1678126000000.0,-75000000000.0,1185871662000000.0,1096293202000000.0,89578460000000.0,37088774000000.0,4995389000000.0,344657000000.0,0.0,0.0,27265000000.0,34845164000000.0,0.0,1185871662000000.0,71566703000000.0,150761888000000.0,3556653000000.0,3641851000000.0,-85198000000.0,0.0,754374040000000.0,770744422000000.0,-16370382000000.0,163458200000000.0,28375703000000.0,135577712000000.0,-495215000000.0,21237667000000.0,10326096000000.0,48404237000000.0,981240858000000.0,59126000000.0,17930000000.0,21294140000000.0,34950815000000.0,42428820000000.0,0.0,0.0,12183712000000.0,53656297000000.0,281129000000.0,38014891000000.0,64671945000000.0,0.0,0.0,0.0,54060229000000.0,489226000000.0,93499000000.0,128821053000000.0,22940835000000.0,-1000000000000.0,0.0,0.0,0.0,10727414000000.0,6871123000000.0,6821000000.0,3636257000000.0,0.0,-3948000000.0,46551237000000.0,1853000000000.0,10928812000000.0,243000000.0,24021760000000.0,0.0,712707000000.0,13258000000.0
